Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-04-19,2057,31.3
2019-04-19,2091,39.0
2019-04-19,2085,40.6
2019-04-19,2084,44.0
2019-04-19,2215,20.9
2019-04-19,2189,8.9
2019-04-19,2187,12.0
2019-04-19,2191,7.7
2019-04-19,2218,2.1
2019-04-19,2149,7.6
2019-04-19,2197,20.2
2019-04-19,2173,0.0
2019-04-19,2068,39.1
2019-04-19,2092,22.6
2019-04-19,2094,34.3
2019-04-19,2093,17.8
2019-04-19,2005,55
2019-04-19,2002,11.8
2019-04-19,2032,53.4
2019-04-19,2086,34.2
2019-04-19,2117,30.6
2019-04-19,2121,26.3
2019-04-19,2180,20.0
2019-04-19,2119,27.7
2019-04-19,2118,24.9
2019-04-19,2001,36.2
2019-04-19,2145,16.9
2019-04-19,2141,8.8
2019-04-19,2020,38.5
2019-04-19,2072,31.8
2019-04-19,2075,45.1
2019-04-19,2106,9.6
2019-04-19,2105,8.0
2019-04-19,2178,46.8
2019-04-19,2200,22.3
2019-04-19,2202,31.1
2019-04-19,2138,12.4
2019-04-19,2135,33.3
2019-04-19,2136,42.1
2019-04-19,2150,24.6
2019-04-19,2125,17.5
2019-04-19,2130,18.2
2019-04-19,2128,17.2
2019-04-19,2126,16.6
2019-04-19,2181,32.4
2019-04-19,2165,26.8
2019-04-19,2160,17.5
2019-04-19,2164,58
2019-04-19,2166,20.3
2019-04-19,2127,15.9
2019-04-19,2155,14.6
2019-04-19,2140,16.6
2019-04-19,2129,26.7
2019-04-19,2133,34.7
2019-04-19,2134,16.6
2019-04-19,2056,46.1
2019-04-19,2137,28.8
2019-04-19,2157,15.6
2019-04-19,2132,2.3
2019-04-19,2159,4.3
2019-04-19,2154,11.3
2019-04-19,2158,2.4
2019-04-19,2163,21.6
2019-04-19,2139,21.5
2019-04-19,2018,8.9
2019-04-19,2179,34.7
2019-04-19,2115,38.5
2019-04-19,2026,6.2
