Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-02-02,2057,20.5
2019-02-02,2091,37.3
2019-02-02,2085,40.1
2019-02-02,2084,42.5
2019-02-02,2215,14.9
2019-02-02,2189,23.8
2019-02-02,2187,16.5
2019-02-02,2191,6.2
2019-02-02,2218,11.0
2019-02-02,2149,12.6
2019-02-02,2197,10.3
2019-02-02,2173,0.0
2019-02-02,2068,18.1
2019-02-02,2092,21.9
2019-02-02,2094,38.7
2019-02-02,2093,30.0
2019-02-02,2005,41
2019-02-02,2002,1.0
2019-02-02,2032,50.7
2019-02-02,2086,31.4
2019-02-02,2117,20.5
2019-02-02,2121,13.4
2019-02-02,2180,17.6
2019-02-02,2119,21.1
2019-02-02,2118,10.5
2019-02-02,2001,42.2
2019-02-02,2145,21.0
2019-02-02,2141,18.0
2019-02-02,2020,11.1
2019-02-02,2072,14.8
2019-02-02,2075,36.2
2019-02-02,2106,13.4
2019-02-02,2105,12.1
2019-02-02,2178,38.4
2019-02-02,2200,29.3
2019-02-02,2202,29.4
2019-02-02,2138,11.1
2019-02-02,2135,29.3
2019-02-02,2136,31.5
2019-02-02,2150,11.4
2019-02-02,2125,13.5
2019-02-02,2130,20.0
2019-02-02,2128,17.7
2019-02-02,2126,6.9
2019-02-02,2181,28.4
2019-02-02,2165,26.1
2019-02-02,2160,11.3
2019-02-02,2164,37
2019-02-02,2166,10.2
2019-02-02,2127,18.1
2019-02-02,2155,12.4
2019-02-02,2140,21.6
2019-02-02,2129,25.4
2019-02-02,2133,18.2
2019-02-02,2134,6.5
2019-02-02,2056,40.1
2019-02-02,2137,29.8
2019-02-02,2157,16.1
2019-02-02,2132,5.6
2019-02-02,2159,3.3
2019-02-02,2154,7.6
2019-02-02,2158,6.8
2019-02-02,2163,20.9
2019-02-02,2139,12.5
2019-02-02,2018,4.9
2019-02-02,2179,34.3
2019-02-02,2115,11.9
2019-02-02,2026,10.9
