Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-05-26,2057,12.2
2019-05-26,2091,28.6
2019-05-26,2085,35.8
2019-05-26,2084,40.5
2019-05-26,2215,16.8
2019-05-26,2189,12.7
2019-05-26,2187,16.6
2019-05-26,2191,9.5
2019-05-26,2218,4.9
2019-05-26,2149,12.7
2019-05-26,2197,26.2
2019-05-26,2173,0.0
2019-05-26,2068,36.7
2019-05-26,2092,22.8
2019-05-26,2094,39.5
2019-05-26,2093,32.4
2019-05-26,2005,79
2019-05-26,2002,10.3
2019-05-26,2032,35.4
2019-05-26,2086,29.1
2019-05-26,2117,37.8
2019-05-26,2121,25.2
2019-05-26,2180,6.7
2019-05-26,2119,37.0
2019-05-26,2118,29.2
2019-05-26,2001,41.9
2019-05-26,2145,19.8
2019-05-26,2141,12.9
2019-05-26,2020,35.6
2019-05-26,2072,32.1
2019-05-26,2075,18.7
2019-05-26,2106,23.1
2019-05-26,2105,12.8
2019-05-26,2178,29.2
2019-05-26,2200,31.9
2019-05-26,2202,31.2
2019-05-26,2138,13.2
2019-05-26,2135,32.4
2019-05-26,2136,44.1
2019-05-26,2150,20.3
2019-05-26,2125,12.1
2019-05-26,2130,22.4
2019-05-26,2128,12.5
2019-05-26,2126,15.9
2019-05-26,2181,14.3
2019-05-26,2165,27.6
2019-05-26,2160,18.2
2019-05-26,2164,55
2019-05-26,2166,21.8
2019-05-26,2127,9.1
2019-05-26,2155,28.1
2019-05-26,2140,24.1
2019-05-26,2129,11.8
2019-05-26,2133,28.3
2019-05-26,2134,21.5
2019-05-26,2056,20.6
2019-05-26,2137,29.3
2019-05-26,2157,11.7
2019-05-26,2132,10.8
2019-05-26,2159,4.8
2019-05-26,2154,19.1
2019-05-26,2158,3.1
2019-05-26,2163,24.4
2019-05-26,2139,23.2
2019-05-26,2018,9.3
2019-05-26,2179,14.3
2019-05-26,2115,3.3
2019-05-26,2026,4.7
