Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-05-16,2057,11.9
2018-05-16,2091,25.6
2018-05-16,2085,23.0
2018-05-16,2084,29.0
2018-05-16,2215,12.3
2018-05-16,2189,4.8
2018-05-16,2187,5.1
2018-05-16,2191,3.5
2018-05-16,2218,7.8
2018-05-16,2149,3.5
2018-05-16,2197,19.8
2018-05-16,2173,27.2
2018-05-16,2068,36.0
2018-05-16,2092,22.4
2018-05-16,2094,29.4
2018-05-16,2093,11.7
2018-05-16,2005,72
2018-05-16,2002,10.5
2018-05-16,2032,28.5
2018-05-16,2086,30.3
2018-05-16,2117,26.4
2018-05-16,2121,15.0
2018-05-16,2180,13.8
2018-05-16,2119,26.8
2018-05-16,2118,19.6
2018-05-16,2001,30.1
2018-05-16,2145,7.7
2018-05-16,2141,6.7
2018-05-16,2020,23.8
2018-05-16,2072,33.0
2018-05-16,2075,30.4
2018-05-16,2106,4.7
2018-05-16,2105,3.7
2018-05-16,2178,27.5
2018-05-16,2200,38.9
2018-05-16,2202,16.2
2018-05-16,2138,6.5
2018-05-16,2135,17.9
2018-05-16,2136,24.4
2018-05-16,2150,16.0
2018-05-16,2125,10.7
2018-05-16,2130,12.7
2018-05-16,2128,8.2
2018-05-16,2126,5.2
2018-05-16,2181,10.0
2018-05-16,2165,28.6
2018-05-16,2160,6.7
2018-05-16,2164,63
2018-05-16,2166,4.4
2018-05-16,2127,10.6
2018-05-16,2155,6.4
2018-05-16,2140,7.7
2018-05-16,2129,19.8
2018-05-16,2133,14.9
2018-05-16,2134,3.2
2018-05-16,2056,22.7
2018-05-16,2137,21.4
2018-05-16,2157,4.4
2018-05-16,2132,0.8
2018-05-16,2159,0.2
2018-05-16,2154,7.5
2018-05-16,2158,1.1
2018-05-16,2163,22.9
2018-05-16,2139,9.5
2018-05-16,2018,8.2
2018-05-16,2179,10.5
2018-05-16,2115,7.6
2018-05-16,2026,2.5
