Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-08-22,2057,23.3
2018-08-22,2091,34.6
2018-08-22,2085,35.3
2018-08-22,2084,28.6
2018-08-22,2215,6.8
2018-08-22,2189,2.6
2018-08-22,2187,6.3
2018-08-22,2191,0.6
2018-08-22,2218,0.0
2018-08-22,2149,0.7
2018-08-22,2197,10.4
2018-08-22,2173,0.0
2018-08-22,2068,37.2
2018-08-22,2092,22.6
2018-08-22,2094,34.3
2018-08-22,2093,34.0
2018-08-22,2005,76
2018-08-22,2002,0.7
2018-08-22,2032,60.6
2018-08-22,2086,30.0
2018-08-22,2117,18.4
2018-08-22,2121,10.7
2018-08-22,2180,19.8
2018-08-22,2119,22.9
2018-08-22,2118,7.1
2018-08-22,2001,35.6
2018-08-22,2145,4.8
2018-08-22,2141,6.8
2018-08-22,2020,26.8
2018-08-22,2072,19.0
2018-08-22,2075,25.6
2018-08-22,2106,13.1
2018-08-22,2105,8.1
2018-08-22,2178,38.1
2018-08-22,2200,24.9
2018-08-22,2202,14.1
2018-08-22,2138,2.7
2018-08-22,2135,7.6
2018-08-22,2136,18.6
2018-08-22,2150,2.4
2018-08-22,2125,16.2
2018-08-22,2130,4.0
2018-08-22,2128,8.9
2018-08-22,2126,16.9
2018-08-22,2181,30.1
2018-08-22,2165,10.0
2018-08-22,2160,0.8
2018-08-22,2164,84
2018-08-22,2166,26.6
2018-08-22,2127,4.6
2018-08-22,2155,11.6
2018-08-22,2140,8.2
2018-08-22,2129,9.9
2018-08-22,2133,13.9
2018-08-22,2134,11.1
2018-08-22,2056,30.0
2018-08-22,2137,8.6
2018-08-22,2157,4.6
2018-08-22,2132,10.5
2018-08-22,2159,6.9
2018-08-22,2154,4.2
2018-08-22,2158,6.7
2018-08-22,2163,8.9
2018-08-22,2139,6.7
2018-08-22,2018,1.0
2018-08-22,2179,7.8
2018-08-22,2115,9.6
2018-08-22,2026,6.1
