Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2018-05-26,2057,27.0
2018-05-26,2091,27.4
2018-05-26,2085,40.2
2018-05-26,2084,28.5
2018-05-26,2215,15.4
2018-05-26,2189,4.2
2018-05-26,2187,10.2
2018-05-26,2191,8.9
2018-05-26,2218,18.9
2018-05-26,2149,7.5
2018-05-26,2197,17.4
2018-05-26,2173,32.8
2018-05-26,2068,27.3
2018-05-26,2092,22.5
2018-05-26,2094,22.3
2018-05-26,2093,28.5
2018-05-26,2005,73
2018-05-26,2002,9.0
2018-05-26,2032,30.1
2018-05-26,2086,31.7
2018-05-26,2117,18.3
2018-05-26,2121,15.7
2018-05-26,2180,19.4
2018-05-26,2119,27.0
2018-05-26,2118,17.5
2018-05-26,2001,27.3
2018-05-26,2145,5.6
2018-05-26,2141,7.0
2018-05-26,2020,17.5
2018-05-26,2072,23.7
2018-05-26,2075,31.4
2018-05-26,2106,5.6
2018-05-26,2105,3.7
2018-05-26,2178,38.4
2018-05-26,2200,28.3
2018-05-26,2202,25.3
2018-05-26,2138,3.5
2018-05-26,2135,17.5
2018-05-26,2136,20.4
2018-05-26,2150,15.5
2018-05-26,2125,11.2
2018-05-26,2130,7.0
2018-05-26,2128,7.3
2018-05-26,2126,4.3
2018-05-26,2181,28.8
2018-05-26,2165,20.6
2018-05-26,2160,4.6
2018-05-26,2164,70
2018-05-26,2166,4.1
2018-05-26,2127,6.6
2018-05-26,2155,10.7
2018-05-26,2140,6.4
2018-05-26,2129,18.2
2018-05-26,2133,14.8
2018-05-26,2134,3.0
2018-05-26,2056,21.6
2018-05-26,2137,14.7
2018-05-26,2157,4.4
2018-05-26,2132,0.7
2018-05-26,2159,0.2
2018-05-26,2154,5.2
2018-05-26,2158,1.1
2018-05-26,2163,20.7
2018-05-26,2139,7.4
2018-05-26,2018,8.0
2018-05-26,2179,7.5
2018-05-26,2115,12.3
2018-05-26,2026,2.4
