Date,Station Id,Soil Moisture Percent -2in (pct) Mean of Hourly Values
2019-03-20,2057,20.8
2019-03-20,2091,35.9
2019-03-20,2085,39.3
2019-03-20,2084,42.6
2019-03-20,2215,15.6
2019-03-20,2189,15.9
2019-03-20,2187,16.6
2019-03-20,2191,8.5
2019-03-20,2218,9.2
2019-03-20,2149,11.3
2019-03-20,2197,20.2
2019-03-20,2173,0.0
2019-03-20,2068,23.8
2019-03-20,2092,22.2
2019-03-20,2094,36.7
2019-03-20,2093,32.9
2019-03-20,2005,48
2019-03-20,2002,12.0
2019-03-20,2032,47.3
2019-03-20,2086,31.0
2019-03-20,2117,21.8
2019-03-20,2121,27.6
2019-03-20,2180,9.9
2019-03-20,2119,19.1
2019-03-20,2118,13.1
2019-03-20,2001,44.1
2019-03-20,2145,21.6
2019-03-20,2141,14.6
2019-03-20,2020,13.1
2019-03-20,2072,17.5
2019-03-20,2075,28.6
2019-03-20,2106,18.3
2019-03-20,2105,13.4
2019-03-20,2178,34.9
2019-03-20,2200,29.6
2019-03-20,2202,30.9
2019-03-20,2138,24.5
2019-03-20,2135,36.3
2019-03-20,2136,36.2
2019-03-20,2150,13.5
2019-03-20,2125,21.6
2019-03-20,2130,29.5
2019-03-20,2128,19.4
2019-03-20,2126,20.2
2019-03-20,2181,24.4
2019-03-20,2165,20.1
2019-03-20,2160,18.9
2019-03-20,2164,47
2019-03-20,2166,36.0
2019-03-20,2127,14.8
2019-03-20,2155,33.7
2019-03-20,2140,24.3
2019-03-20,2129,32.2
2019-03-20,2133,35.2
2019-03-20,2134,16.6
2019-03-20,2056,37.2
2019-03-20,2137,31.8
2019-03-20,2157,22.9
2019-03-20,2132,10.6
2019-03-20,2159,3.0
2019-03-20,2154,25.8
2019-03-20,2158,5.9
2019-03-20,2163,21.3
2019-03-20,2139,28.1
2019-03-20,2018,12.7
2019-03-20,2179,31.6
2019-03-20,2115,9.5
2019-03-20,2026,14.2
